met	id	time	conditon	well nr	Value
Leucine	36	23.25	22	well 6	5.145756e+02
Leucine	37	23.25	0	well 7	4.888630e+02
Leucine	38	23.25	6	well 8	5.000351e+02
Leucine	39	23.25	22	well 9	4.898429e+02
Leucine	40	23.25	0	well 10	4.982437e+02
Leucine	41	23.25	6	well 11	4.904331e+02
Leucine	42	23.25	22	well 12	5.020084e+02
Leucine	49	30.25	0	well 7	4.572970e+02
Leucine	50	30.25	6	well 8	4.479905e+02
Leucine	51	30.25	22	well 9	4.403021e+02
Leucine	52	30.25	0	well 10	4.701134e+02
Leucine	53	30.25	6	well 11	4.515195e+02
Leucine	54	30.25	22	well 12	4.601933e+02
Leucine	55	30.25	0	well 13	4.498292e+02
Leucine	56	30.25	6	well 14	4.542370e+02
Leucine	57	30.25	22	well 15	4.397779e+02
Leucine	61	47.5	0	well 7	3.539120e+02
Leucine	62	47.5	6	well 8	3.203343e+02
Leucine	63	47.5	22	well 9	3.231012e+02
Leucine	64	47.5	0	well 10	3.660054e+02
Leucine	65	47.5	6	well 11	3.324423e+02
Leucine	66	47.5	22	well 12	3.191386e+02
Leucine	67	47.5	0	well 13	3.598843e+02
Leucine	68	47.5	6	well 14	3.304750e+02
Leucine	69	47.5	22	well 15	3.302935e+02
Tyrosine	22	6.5	0	well 7	3.481103e+02
Tyrosine	23	6.5	6	well 8	3.513231e+02
Tyrosine	24	6.5	22	well 9	3.383626e+02
Tyrosine	34	23.25	0	well 4	3.428224e+02
Tyrosine	35	23.25	6	well 5	3.412665e+02
Tyrosine	36	23.25	22	well 6	3.411290e+02
Tyrosine	37	23.25	0	well 7	3.337786e+02
Tyrosine	38	23.25	6	well 8	3.403080e+02
Tyrosine	39	23.25	22	well 9	3.296100e+02
Tyrosine	40	23.25	0	well 10	3.341064e+02
Tyrosine	41	23.25	6	well 11	3.373201e+02
Tyrosine	42	23.25	22	well 12	3.403999e+02
Tyrosine	49	30.25	0	well 7	3.428394e+02
Tyrosine	50	30.25	6	well 8	3.386974e+02
Tyrosine	51	30.25	22	well 9	3.242586e+02
Tyrosine	52	30.25	0	well 10	3.432051e+02
Tyrosine	53	30.25	6	well 11	3.419193e+02
Tyrosine	54	30.25	22	well 12	3.418451e+02
Tyrosine	55	30.25	0	well 13	3.320004e+02
Tyrosine	56	30.25	6	well 14	3.410859e+02
Tyrosine	57	30.25	22	well 15	3.264309e+02
Tyrosine	61	47.5	0	well 7	3.523070e+02
Tyrosine	62	47.5	6	well 8	3.354611e+02
Tyrosine	63	47.5	22	well 9	3.380932e+02
Tyrosine	64	47.5	0	well 10	3.468822e+02
Tyrosine	65	47.5	6	well 11	3.485438e+02
Tyrosine	66	47.5	22	well 12	3.324002e+02
Tyrosine	67	47.5	0	well 13	3.474809e+02
Tyrosine	68	47.5	6	well 14	3.428211e+02
Tyrosine	69	47.5	22	well 15	3.411310e+02
Phenylalanine	22	6.5	0	well 7	3.424589e+02
Phenylalanine	23	6.5	6	well 8	3.503148e+02
Phenylalanine	24	6.5	22	well 9	3.363198e+02
Phenylalanine	34	23.25	0	well 4	3.190746e+02
